metric,size,dims,result
ks_test,10,5,0.28
pca_$\Delta\lambda$,10,5,0.2043432703674009
pca_$\Delta\theta$,10,5,0.17625488052178415
corr,10,5,0.13704879877797033
pMSE,10,5,0.11507127844142209
ks_test,10,5,0.33999999999999997
pca_$\Delta\lambda$,10,5,0.11111592942927523
pca_$\Delta\theta$,10,5,0.1283812476257496
corr,10,5,0.24922576467595725
pMSE,10,5,0.2802053343871746
ks_test,10,5,0.45999999999999996
pca_$\Delta\lambda$,10,5,0.2417327505632872
pca_$\Delta\theta$,10,5,0.39937303558536746
corr,10,5,0.08107163386041669
pMSE,10,5,0.1381110249815607
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.10726222683659983
pca_$\Delta\theta$,10,5,0.31680658872705975
corr,10,5,0.07838059160363905
pMSE,10,5,0.10789820652558697
ks_test,10,5,0.3
pca_$\Delta\lambda$,10,5,0.08001470181420517
pca_$\Delta\theta$,10,5,0.13836954207190844
corr,10,5,0.07043081061939588
pMSE,10,5,0.1731074585950253
ks_test,10,5,0.42000000000000004
pca_$\Delta\lambda$,10,5,0.07256146512919723
pca_$\Delta\theta$,10,5,0.31724461767766504
corr,10,5,0.07030651943587754
pMSE,10,5,0.07550058678460941
ks_test,10,5,0.27999999999999997
pca_$\Delta\lambda$,10,5,0.04556173360940243
pca_$\Delta\theta$,10,5,0.17460111248017837
corr,10,5,0.14734998392143311
pMSE,10,5,0.15362157805800195
ks_test,10,5,0.32
pca_$\Delta\lambda$,10,5,0.13996569049843008
pca_$\Delta\theta$,10,5,0.27945258596709244
corr,10,5,0.08796415244173783
pMSE,10,5,0.10760620177965849
ks_test,10,5,0.3
pca_$\Delta\lambda$,10,5,0.21211933778718392
pca_$\Delta\theta$,10,5,0.12896953234768757
corr,10,5,0.22170288961478635
pMSE,10,5,0.08126326580058839
ks_test,10,5,0.30000000000000004
pca_$\Delta\lambda$,10,5,0.21282744384475855
pca_$\Delta\theta$,10,5,0.5639309899058298
