metric,size,dims,result
ks_test,10000,25,0.011712000000000002
pca_$\Delta\lambda$,10000,25,0.007428677485609613
pca_$\Delta\theta$,10000,25,0.014030298756799465
corr,10000,25,0.0009239593287471056
pMSE,10000,25,0.0012291316153491324
ks_test,10000,25,0.01188
pca_$\Delta\lambda$,10000,25,0.007558431840514622
pca_$\Delta\theta$,10000,25,0.008667428368303259
corr,10000,25,0.0009273233143843205
pMSE,10000,25,0.00186401282686622
ks_test,10000,25,0.013472
pca_$\Delta\lambda$,10000,25,0.005176354749397474
pca_$\Delta\theta$,10000,25,0.01133175501119966
corr,10000,25,0.0010470103975179714
pMSE,10000,25,0.001597745059222211
ks_test,10000,25,0.013659999999999999
pca_$\Delta\lambda$,10000,25,0.009694030161128516
pca_$\Delta\theta$,10000,25,0.011163074359762515
corr,10000,25,0.0008347778768262169
pMSE,10000,25,0.0016579200277024018
ks_test,10000,25,0.013023999999999997
pca_$\Delta\lambda$,10000,25,0.004651170828544737
pca_$\Delta\theta$,10000,25,0.008373218200671146
corr,10000,25,0.0008555461694614223
pMSE,10000,25,0.0013165690282156415
ks_test,10000,25,0.010771999999999997
pca_$\Delta\lambda$,10000,25,0.0059326320408137085
pca_$\Delta\theta$,10000,25,0.01022292494609875
corr,10000,25,0.0009007950735373304
pMSE,10000,25,0.0008591307757241228
ks_test,10000,25,0.01148
pca_$\Delta\lambda$,10000,25,0.005557022523646867
pca_$\Delta\theta$,10000,25,0.012737790330324591
corr,10000,25,0.0008527297821869447
pMSE,10000,25,0.0015753556878886428
ks_test,10000,25,0.013571999999999999
pca_$\Delta\lambda$,10000,25,0.006006339051985695
pca_$\Delta\theta$,10000,25,0.00816064353678378
corr,10000,25,0.0008022493250083858
pMSE,10000,25,0.0022577813452696834
ks_test,10000,25,0.01474
pca_$\Delta\lambda$,10000,25,0.004072786228002164
pca_$\Delta\theta$,10000,25,0.012018008894803683
corr,10000,25,0.0009602209181964849
pMSE,10000,25,0.0014336212380200342
ks_test,10000,25,0.012683999999999999
pca_$\Delta\lambda$,10000,25,0.004453409799000099
pca_$\Delta\theta$,10000,25,0.012026750749757845
corr,10000,25,0.000935783963467083
pMSE,10000,25,0.0013682329544319296
ks_test,10000,25,0.014184
pca_$\Delta\lambda$,10000,25,0.00595411768679871
pca_$\Delta\theta$,10000,25,0.012828332251915497
corr,10000,25,0.0009372067883162911
pMSE,10000,25,0.0014780607714200253
ks_test,10000,25,0.011663999999999999
pca_$\Delta\lambda$,10000,25,0.00515874273461229
pca_$\Delta\theta$,10000,25,0.012657860986207236
corr,10000,25,0.0008924887635525503
pMSE,10000,25,0.002002221791772742
ks_test,10000,25,0.011308
pca_$\Delta\lambda$,10000,25,0.0032317256553227483
pca_$\Delta\theta$,10000,25,0.01128550050304227
corr,10000,25,0.0008856983746063391
pMSE,10000,25,0.0010461051914428296
ks_test,10000,25,0.01094
pca_$\Delta\lambda$,10000,25,0.004942185837787028
pca_$\Delta\theta$,10000,25,0.012761026757443809
corr,10000,25,0.0009478473256101626
pMSE,10000,25,0.0016584486007474853
ks_test,10000,25,0.011428
pca_$\Delta\lambda$,10000,25,0.005117371622723282
pca_$\Delta\theta$,10000,25,0.014301805339500297
corr,10000,25,0.0008520946112247847
pMSE,10000,25,0.002439670403624723
ks_test,10000,25,0.012784
pca_$\Delta\lambda$,10000,25,0.005250660778524886
pca_$\Delta\theta$,10000,25,0.011533598419351488
corr,10000,25,0.0010138878057133662
pMSE,10000,25,0.0012799433126779614
ks_test,10000,25,0.0129
pca_$\Delta\lambda$,10000,25,0.008719096774658867
pca_$\Delta\theta$,10000,25,0.011293676274870431
corr,10000,25,0.000924748189223197
pMSE,10000,25,0.0009340303540939685
ks_test,10000,25,0.0111
pca_$\Delta\lambda$,10000,25,0.00572767813610068
pca_$\Delta\theta$,10000,25,0.011305365289361265
corr,10000,25,0.0010559085656237563
pMSE,10000,25,0.0013642745618933304
ks_test,10000,25,0.011415999999999999
pca_$\Delta\lambda$,10000,25,0.007294987466782671
pca_$\Delta\theta$,10000,25,0.0125508199772766
corr,10000,25,0.0014314668109357785
pMSE,10000,25,0.0014686838385648891
ks_test,10000,25,0.011795999999999997
pca_$\Delta\lambda$,10000,25,0.013513774588103513
pca_$\Delta\theta$,10000,25,0.01760074344551496
corr,10000,25,0.0008756765076379254
pMSE,10000,25,0.001548985353010603
ks_test,10000,25,0.012151999999999998
pca_$\Delta\lambda$,10000,25,0.005588081473777113
pca_$\Delta\theta$,10000,25,0.011885282220675999
corr,10000,25,0.0008599134307669687
pMSE,10000,25,0.0012600645761624962
ks_test,10000,25,0.012056
pca_$\Delta\lambda$,10000,25,0.004832542058944935
pca_$\Delta\theta$,10000,25,0.01175546868018992
corr,10000,25,0.0008994533112133115
pMSE,10000,25,0.0020054829796692154
ks_test,10000,25,0.014283999999999998
pca_$\Delta\lambda$,10000,25,0.005727734750663776
pca_$\Delta\theta$,10000,25,0.011418778743000547
corr,10000,25,0.0007778815439255262
pMSE,10000,25,0.0019311971636723536
ks_test,10000,25,0.011692000000000001
pca_$\Delta\lambda$,10000,25,0.005454458903920429
pca_$\Delta\theta$,10000,25,0.008588648888044434
corr,10000,25,0.000987249072649804
pMSE,10000,25,0.0018883201640083713
ks_test,10000,25,0.011884
pca_$\Delta\lambda$,10000,25,0.00790771831048815
pca_$\Delta\theta$,10000,25,0.01125880441163932
corr,10000,25,0.001079401537129414
pMSE,10000,25,0.0015027124816985192
ks_test,10000,25,0.011456
pca_$\Delta\lambda$,10000,25,0.009496008276576835
pca_$\Delta\theta$,10000,25,0.013112543046910521
corr,10000,25,0.0009736213705241972
pMSE,10000,25,0.001222490815247408
ks_test,10000,25,0.012147999999999999
pca_$\Delta\lambda$,10000,25,0.007492904351407002
pca_$\Delta\theta$,10000,25,0.012638323731057612
corr,10000,25,0.0009546020473435008
pMSE,10000,25,0.0014648229480470386
ks_test,10000,25,0.012312
pca_$\Delta\lambda$,10000,25,0.004020388270324965
pca_$\Delta\theta$,10000,25,0.012930996408226777
corr,10000,25,0.0008097030364878629
pMSE,10000,25,0.0012609212923892711
ks_test,10000,25,0.01282
pca_$\Delta\lambda$,10000,25,0.0045803175321433975
pca_$\Delta\theta$,10000,25,0.011479214117000775
corr,10000,25,0.0010560073147746496
pMSE,10000,25,0.0014292442382057304
ks_test,10000,25,0.012596000000000001
pca_$\Delta\lambda$,10000,25,0.009582008922246145
pca_$\Delta\theta$,10000,25,0.011738788763624974
corr,10000,25,0.0009738747217702432
pMSE,10000,25,0.001323085114878141
ks_test,10000,25,0.01272
pca_$\Delta\lambda$,10000,25,0.007182365099798354
pca_$\Delta\theta$,10000,25,0.014144187985922051
corr,10000,25,0.000933238544210146
pMSE,10000,25,0.0015473557158804197
ks_test,10000,25,0.01188
pca_$\Delta\lambda$,10000,25,0.008023611568046273
pca_$\Delta\theta$,10000,25,0.013064784895574357
corr,10000,25,0.0009635073219973809
pMSE,10000,25,0.0015760671790696855
ks_test,10000,25,0.011420000000000001
pca_$\Delta\lambda$,10000,25,0.006272161341217815
pca_$\Delta\theta$,10000,25,0.01187180619195538
corr,10000,25,0.0009856491740237458
pMSE,10000,25,0.0010663093731726478
ks_test,10000,25,0.0146
pca_$\Delta\lambda$,10000,25,0.008538960142090862
pca_$\Delta\theta$,10000,25,0.012060469169606477
corr,10000,25,0.0008825359247817777
pMSE,10000,25,0.0016819469809211686
ks_test,10000,25,0.0108
pca_$\Delta\lambda$,10000,25,0.004561760286472912
pca_$\Delta\theta$,10000,25,0.009785788926533685
corr,10000,25,0.0008436861793042896
pMSE,10000,25,0.0015189131506913596
ks_test,10000,25,0.012555999999999998
pca_$\Delta\lambda$,10000,25,0.00618252204759075
pca_$\Delta\theta$,10000,25,0.010481043849373527
corr,10000,25,0.0009770934734200146
pMSE,10000,25,0.0016965276086626571
ks_test,10000,25,0.011196000000000001
pca_$\Delta\lambda$,10000,25,0.007028727599773226
pca_$\Delta\theta$,10000,25,0.015494262410283635
corr,10000,25,0.0009335788822293138
pMSE,10000,25,0.0014936501749979053
ks_test,10000,25,0.013224
pca_$\Delta\lambda$,10000,25,0.005637483234009718
pca_$\Delta\theta$,10000,25,0.013124281953763126
corr,10000,25,0.0009663799815815351
pMSE,10000,25,0.0018727022877483165
ks_test,10000,25,0.014132
pca_$\Delta\lambda$,10000,25,0.0064731315186861964
pca_$\Delta\theta$,10000,25,0.011632154516319469
corr,10000,25,0.001126737974904209
pMSE,10000,25,0.0008855016594355797
ks_test,10000,25,0.011992000000000001
pca_$\Delta\lambda$,10000,25,0.008855090473120053
pca_$\Delta\theta$,10000,25,0.014204043680264369
corr,10000,25,0.0011487655795893645
pMSE,10000,25,0.0011556569727631991
ks_test,10000,25,0.011687999999999999
pca_$\Delta\lambda$,10000,25,0.010128514748015557
pca_$\Delta\theta$,10000,25,0.011790273615932326
corr,10000,25,0.0010290601882088693
pMSE,10000,25,0.0023688487122923646
ks_test,10000,25,0.013892
pca_$\Delta\lambda$,10000,25,0.008191564657376018
pca_$\Delta\theta$,10000,25,0.01193601683463584
corr,10000,25,0.001312939087292075
pMSE,10000,25,0.001189723928242508
ks_test,10000,25,0.011303999999999998
pca_$\Delta\lambda$,10000,25,0.011715683771800925
pca_$\Delta\theta$,10000,25,0.010657073798974993
corr,10000,25,0.001162454886178895
pMSE,10000,25,0.002031249289903163
ks_test,10000,25,0.011364
pca_$\Delta\lambda$,10000,25,0.005539578918802572
pca_$\Delta\theta$,10000,25,0.01464084767685548
corr,10000,25,0.000925424775626146
pMSE,10000,25,0.001372145217447968
ks_test,10000,25,0.011091999999999998
pca_$\Delta\lambda$,10000,25,0.006631185226159603
pca_$\Delta\theta$,10000,25,0.011375026106674433
corr,10000,25,0.0009329838264441057
pMSE,10000,25,0.0010847134541978579
ks_test,10000,25,0.011260000000000001
pca_$\Delta\lambda$,10000,25,0.005901312717512922
pca_$\Delta\theta$,10000,25,0.011660235828845573
corr,10000,25,0.000984062127352241
pMSE,10000,25,0.0014816952198416044
ks_test,10000,25,0.010612000000000002
pca_$\Delta\lambda$,10000,25,0.005885951533510804
pca_$\Delta\theta$,10000,25,0.012983701615320111
corr,10000,25,0.0009575089559648343
pMSE,10000,25,0.0015001111729454175
ks_test,10000,25,0.015955999999999998
pca_$\Delta\lambda$,10000,25,0.008018573400195355
pca_$\Delta\theta$,10000,25,0.013176621070448417
corr,10000,25,0.0009185525120178395
pMSE,10000,25,0.001298869959250876
ks_test,10000,25,0.010444
pca_$\Delta\lambda$,10000,25,0.006382592937395714
pca_$\Delta\theta$,10000,25,0.010468000321422864
corr,10000,25,0.0008596587272788606
pMSE,10000,25,0.0013686804110229754
ks_test,10000,25,0.011691999999999998
pca_$\Delta\lambda$,10000,25,0.005592308987447993
pca_$\Delta\theta$,10000,25,0.012776896269866611
corr,10000,25,0.001008200232293991
pMSE,10000,25,0.001250632430375301
ks_test,10000,25,0.01244
pca_$\Delta\lambda$,10000,25,0.008563186551190762
pca_$\Delta\theta$,10000,25,0.012119468887438626
corr,10000,25,0.0009421503125093317
pMSE,10000,25,0.0010718862775609542
ks_test,10000,25,0.012188
pca_$\Delta\lambda$,10000,25,0.005246614523682126
pca_$\Delta\theta$,10000,25,0.010079295793081512
corr,10000,25,0.0008510069811695176
pMSE,10000,25,0.0013668615771209468
ks_test,10000,25,0.011371999999999998
pca_$\Delta\lambda$,10000,25,0.003590512223121188
pca_$\Delta\theta$,10000,25,0.013335387164061066
corr,10000,25,0.00092836748807823
pMSE,10000,25,0.0014887262664994264
ks_test,10000,25,0.013176
pca_$\Delta\lambda$,10000,25,0.005113853077331005
pca_$\Delta\theta$,10000,25,0.011364470348374678
corr,10000,25,0.0010632750389651666
pMSE,10000,25,0.001001813802344301
ks_test,10000,25,0.01164
pca_$\Delta\lambda$,10000,25,0.007399723469049012
pca_$\Delta\theta$,10000,25,0.0138449575165452
corr,10000,25,0.0011011026114750102
pMSE,10000,25,0.0018878863768005392
ks_test,10000,25,0.017172
pca_$\Delta\lambda$,10000,25,0.008315077240557031
pca_$\Delta\theta$,10000,25,0.014983603582256809
corr,10000,25,0.0007679535508809313
pMSE,10000,25,0.0018965295819365745
ks_test,10000,25,0.012447999999999999
pca_$\Delta\lambda$,10000,25,0.0039658572329807846
pca_$\Delta\theta$,10000,25,0.010371073291489076
corr,10000,25,0.0010245008153744808
pMSE,10000,25,0.0014670941073288088
ks_test,10000,25,0.012496
pca_$\Delta\lambda$,10000,25,0.005657416246077543
pca_$\Delta\theta$,10000,25,0.018284464231837768
corr,10000,25,0.0009247808753238586
pMSE,10000,25,0.002306644133648636
ks_test,10000,25,0.012936000000000001
pca_$\Delta\lambda$,10000,25,0.0041100859575203255
pca_$\Delta\theta$,10000,25,0.012296627097877036
corr,10000,25,0.0009238679772617541
pMSE,10000,25,0.0015753108638499019
ks_test,10000,25,0.012524
pca_$\Delta\lambda$,10000,25,0.006537838708194062
pca_$\Delta\theta$,10000,25,0.011273282883877665
corr,10000,25,0.0009008931856855329
pMSE,10000,25,0.0017904136921588873
ks_test,10000,25,0.011608
pca_$\Delta\lambda$,10000,25,0.004634960609169462
pca_$\Delta\theta$,10000,25,0.011188761308435774
corr,10000,25,0.0014222437994343923
pMSE,10000,25,0.0013919220195729987
ks_test,10000,25,0.010699999999999998
pca_$\Delta\lambda$,10000,25,0.013329223348536012
pca_$\Delta\theta$,10000,25,0.013173615095104377
corr,10000,25,0.0010673977675537097
pMSE,10000,25,0.001516516497512979
ks_test,10000,25,0.014059999999999996
pca_$\Delta\lambda$,10000,25,0.005411524282280077
pca_$\Delta\theta$,10000,25,0.017989039351805822
corr,10000,25,0.0009101750918116152
pMSE,10000,25,0.0014135794367754057
ks_test,10000,25,0.010787999999999999
pca_$\Delta\lambda$,10000,25,0.007010900712091936
pca_$\Delta\theta$,10000,25,0.011660092057993945
corr,10000,25,0.0009427607800515307
pMSE,10000,25,0.0018717001634035867
ks_test,10000,25,0.012156
pca_$\Delta\lambda$,10000,25,0.003964888136559223
pca_$\Delta\theta$,10000,25,0.012814758164624986
corr,10000,25,0.0008679812876225952
pMSE,10000,25,0.0020547674554214955
ks_test,10000,25,0.012931999999999999
pca_$\Delta\lambda$,10000,25,0.005677962029131664
pca_$\Delta\theta$,10000,25,0.011823487667815753
corr,10000,25,0.0009187796328024373
pMSE,10000,25,0.0016907222883877824
ks_test,10000,25,0.013340000000000001
pca_$\Delta\lambda$,10000,25,0.006478670484921444
pca_$\Delta\theta$,10000,25,0.013070211349976303
corr,10000,25,0.0009141006710924963
pMSE,10000,25,0.0018462547499543222
ks_test,10000,25,0.01142
pca_$\Delta\lambda$,10000,25,0.005994245245072868
pca_$\Delta\theta$,10000,25,0.010263186882427817
corr,10000,25,0.0009579173078534266
pMSE,10000,25,0.00140487243538585
ks_test,10000,25,0.015176
pca_$\Delta\lambda$,10000,25,0.006223034472952245
pca_$\Delta\theta$,10000,25,0.010861626513019132
corr,10000,25,0.0009618902970431507
pMSE,10000,25,0.0013990068980779652
ks_test,10000,25,0.011675999999999999
pca_$\Delta\lambda$,10000,25,0.005612361560891385
pca_$\Delta\theta$,10000,25,0.013337501319551368
corr,10000,25,0.0008715064767909247
pMSE,10000,25,0.0009574401548921458
ks_test,10000,25,0.011203999999999999
pca_$\Delta\lambda$,10000,25,0.0036956982273354134
pca_$\Delta\theta$,10000,25,0.008526393549447574
corr,10000,25,0.0009038993078250629
pMSE,10000,25,0.0019181000319923765
ks_test,10000,25,0.015700000000000002
pca_$\Delta\lambda$,10000,25,0.005957895528150748
pca_$\Delta\theta$,10000,25,0.012508321297471623
corr,10000,25,0.0010874866269369623
pMSE,10000,25,0.0014508726394542068
ks_test,10000,25,0.011883999999999999
pca_$\Delta\lambda$,10000,25,0.008935540155205273
pca_$\Delta\theta$,10000,25,0.01293459176753552
corr,10000,25,0.0010197800497540326
pMSE,10000,25,0.0011824848821546526
ks_test,10000,25,0.012448
pca_$\Delta\lambda$,10000,25,0.0070101641880764235
pca_$\Delta\theta$,10000,25,0.01351464448959899
corr,10000,25,0.0008789654658982541
pMSE,10000,25,0.0018764023007772726
ks_test,10000,25,0.012100000000000001
pca_$\Delta\lambda$,10000,25,0.006439306535047675
pca_$\Delta\theta$,10000,25,0.007339725064807588
corr,10000,25,0.0011135699932145438
pMSE,10000,25,0.0013717094172727498
ks_test,10000,25,0.011711999999999998
pca_$\Delta\lambda$,10000,25,0.008921453252561457
pca_$\Delta\theta$,10000,25,0.01566356692709002
corr,10000,25,0.0008736834424247545
pMSE,10000,25,0.0016144013684974497
ks_test,10000,25,0.010992
pca_$\Delta\lambda$,10000,25,0.004605470193640089
pca_$\Delta\theta$,10000,25,0.010841821110078613
corr,10000,25,0.0008912381518434785
pMSE,10000,25,0.0013503222422000748
ks_test,10000,25,0.011532
pca_$\Delta\lambda$,10000,25,0.0062637055913515
pca_$\Delta\theta$,10000,25,0.011181808138399807
corr,10000,25,0.0009061815627348481
pMSE,10000,25,0.0013235204710422594
ks_test,10000,25,0.012291999999999999
pca_$\Delta\lambda$,10000,25,0.0060888741187579
pca_$\Delta\theta$,10000,25,0.011838365506441165
corr,10000,25,0.0011207186337090986
pMSE,10000,25,0.0013857792992123682
ks_test,10000,25,0.013016000000000002
pca_$\Delta\lambda$,10000,25,0.009136634476288673
pca_$\Delta\theta$,10000,25,0.010221656982423638
corr,10000,25,0.0011802920837847056
pMSE,10000,25,0.0024816444547933773
ks_test,10000,25,0.015456000000000001
pca_$\Delta\lambda$,10000,25,0.008396543859210417
pca_$\Delta\theta$,10000,25,0.015854202365224
corr,10000,25,0.0007441825585251043
pMSE,10000,25,0.0016013024732831112
ks_test,10000,25,0.01208
pca_$\Delta\lambda$,10000,25,0.005576297699365294
pca_$\Delta\theta$,10000,25,0.009582127266034562
corr,10000,25,0.0008501548150991343
pMSE,10000,25,0.0019158386516388392
ks_test,10000,25,0.012988000000000001
pca_$\Delta\lambda$,10000,25,0.006261129256803109
pca_$\Delta\theta$,10000,25,0.01208191579159278
corr,10000,25,0.0009414318822443374
pMSE,10000,25,0.0016848672404480008
ks_test,10000,25,0.011516000000000002
pca_$\Delta\lambda$,10000,25,0.006429800021688391
pca_$\Delta\theta$,10000,25,0.012337899462262507
corr,10000,25,0.0009143406253397416
pMSE,10000,25,0.001342738837119182
ks_test,10000,25,0.012471999999999999
pca_$\Delta\lambda$,10000,25,0.005846702779735049
pca_$\Delta\theta$,10000,25,0.010626761923035886
corr,10000,25,0.001057823352527277
pMSE,10000,25,0.0017866821910308794
ks_test,10000,25,0.01592
pca_$\Delta\lambda$,10000,25,0.008481338095884902
pca_$\Delta\theta$,10000,25,0.010985898401353346
corr,10000,25,0.0011244466812112641
pMSE,10000,25,0.0009987585790920133
ks_test,10000,25,0.012303999999999999
pca_$\Delta\lambda$,10000,25,0.010092174105586885
pca_$\Delta\theta$,10000,25,0.012697212739804809
corr,10000,25,0.0009218518628964982
pMSE,10000,25,0.0012918888899801802
ks_test,10000,25,0.013872
pca_$\Delta\lambda$,10000,25,0.0059189046778800785
pca_$\Delta\theta$,10000,25,0.010170348852060715
corr,10000,25,0.0009261489867385893
pMSE,10000,25,0.0018126375964736606
ks_test,10000,25,0.012308
pca_$\Delta\lambda$,10000,25,0.004506155537739826
pca_$\Delta\theta$,10000,25,0.015026708987088888
corr,10000,25,0.0010490927841225446
pMSE,10000,25,0.0012932944689180118
ks_test,10000,25,0.012435999999999997
pca_$\Delta\lambda$,10000,25,0.00862021268594123
pca_$\Delta\theta$,10000,25,0.009198105937368134
corr,10000,25,0.0009525446412383369
pMSE,10000,25,0.0010935139520618724
ks_test,10000,25,0.011292
pca_$\Delta\lambda$,10000,25,0.005889236978765906
pca_$\Delta\theta$,10000,25,0.012592504981292189
corr,10000,25,0.0010478965577063648
pMSE,10000,25,0.0015456531443789772
ks_test,10000,25,0.011956
pca_$\Delta\lambda$,10000,25,0.007434447890327857
pca_$\Delta\theta$,10000,25,0.010321716447365448
corr,10000,25,0.0010336892636778718
pMSE,10000,25,0.00175794393378151
ks_test,10000,25,0.013004
pca_$\Delta\lambda$,10000,25,0.008448593578178353
pca_$\Delta\theta$,10000,25,0.009367726463898562
corr,10000,25,0.0010806620094405159
pMSE,10000,25,0.001601047532460367
ks_test,10000,25,0.012007999999999998
pca_$\Delta\lambda$,10000,25,0.006900876697128698
pca_$\Delta\theta$,10000,25,0.014208599404348756
corr,10000,25,0.0010264780888206797
pMSE,10000,25,0.0012446803443037706
ks_test,10000,25,0.010903999999999999
pca_$\Delta\lambda$,10000,25,0.006690466436761732
pca_$\Delta\theta$,10000,25,0.015871573989140204
corr,10000,25,0.000959463822982941
pMSE,10000,25,0.0010278838317507612
ks_test,10000,25,0.011767999999999999
pca_$\Delta\lambda$,10000,25,0.007678877202436266
pca_$\Delta\theta$,10000,25,0.009678560627914206
corr,10000,25,0.0008402742156707801
pMSE,10000,25,0.0018487287610113672
ks_test,10000,25,0.014464000000000001
pca_$\Delta\lambda$,10000,25,0.006559334920619964
pca_$\Delta\theta$,10000,25,0.011992077973080299
corr,10000,25,0.0010809053699046966
pMSE,10000,25,0.0009301986288922212
ks_test,10000,25,0.011143999999999998
pca_$\Delta\lambda$,10000,25,0.00822033456648639
pca_$\Delta\theta$,10000,25,0.01318806608374264
corr,10000,25,0.0008942943841502443
pMSE,10000,25,0.001706521454506262
ks_test,10000,25,0.012519999999999998
pca_$\Delta\lambda$,10000,25,0.005046216961039272
pca_$\Delta\theta$,10000,25,0.010346127318724885
corr,10000,25,0.0010248827667601772
pMSE,10000,25,0.002066762418909033
ks_test,10000,25,0.012768000000000002
pca_$\Delta\lambda$,10000,25,0.006637877592400586
pca_$\Delta\theta$,10000,25,0.015549929140205542
corr,10000,25,0.0011103461817885422
pMSE,10000,25,0.0017687951488299758
ks_test,10000,25,0.012308000000000001
pca_$\Delta\lambda$,10000,25,0.006725487661582355
pca_$\Delta\theta$,10000,25,0.015573276723861176
corr,10000,25,0.0011206981899375696
pMSE,10000,25,0.001271338459772463
ks_test,10000,25,0.011916
pca_$\Delta\lambda$,10000,25,0.01035084238986868
pca_$\Delta\theta$,10000,25,0.010541448967441905
corr,10000,25,0.0013636832416844293
pMSE,10000,25,0.001311336030778508
ks_test,10000,25,0.010976000000000001
pca_$\Delta\lambda$,10000,25,0.013362792746202284
pca_$\Delta\theta$,10000,25,0.011983024891435082
corr,10000,25,0.0009754229936008037
pMSE,10000,25,0.001515330469717594
ks_test,10000,25,0.011931999999999998
pca_$\Delta\lambda$,10000,25,0.0073825754501174335
pca_$\Delta\theta$,10000,25,0.014329785433213768
corr,10000,25,0.0010751029715902896
pMSE,10000,25,0.001694892552587594
ks_test,10000,25,0.012132
pca_$\Delta\lambda$,10000,25,0.006079392239017071
pca_$\Delta\theta$,10000,25,0.015715935153755026
corr,10000,25,0.0010556324935869963
pMSE,10000,25,0.0022100607791348073
ks_test,10000,25,0.012076
pca_$\Delta\lambda$,10000,25,0.0074461746459199216
pca_$\Delta\theta$,10000,25,0.011594396556962086
corr,10000,25,0.0010403745538934334
pMSE,10000,25,0.00154555471441481
ks_test,10000,25,0.012360000000000003
pca_$\Delta\lambda$,10000,25,0.007441757732511899
pca_$\Delta\theta$,10000,25,0.013920447683718973
corr,10000,25,0.0008835217904789999
pMSE,10000,25,0.0018151163580707723
ks_test,10000,25,0.015276000000000001
pca_$\Delta\lambda$,10000,25,0.007861787264034945
pca_$\Delta\theta$,10000,25,0.009719626597370091
corr,10000,25,0.000987945247364239
pMSE,10000,25,0.002141539281516156
ks_test,10000,25,0.01352
pca_$\Delta\lambda$,10000,25,0.006633364678681903
pca_$\Delta\theta$,10000,25,0.013275732920723479
corr,10000,25,0.001133738338056682
pMSE,10000,25,0.0010322280647036132
ks_test,10000,25,0.011215999999999999
pca_$\Delta\lambda$,10000,25,0.007151803197717937
pca_$\Delta\theta$,10000,25,0.015268606968455577
corr,10000,25,0.0008897950759176381
pMSE,10000,25,0.0016326450027991783
ks_test,10000,25,0.012268
pca_$\Delta\lambda$,10000,25,0.006217001894931574
pca_$\Delta\theta$,10000,25,0.010471735215489901
corr,10000,25,0.0008371642657921637
pMSE,10000,25,0.0013586771627302995
ks_test,10000,25,0.012048000000000001
pca_$\Delta\lambda$,10000,25,0.0045307172104010465
pca_$\Delta\theta$,10000,25,0.009526983186738018
corr,10000,25,0.0009645205754283152
pMSE,10000,25,0.0023917382796179642
ks_test,10000,25,0.016368
pca_$\Delta\lambda$,10000,25,0.0071067896866377975
pca_$\Delta\theta$,10000,25,0.011348400203241508
corr,10000,25,0.0008829367337522324
pMSE,10000,25,0.0012089480450399902
ks_test,10000,25,0.011584
pca_$\Delta\lambda$,10000,25,0.0053925445633913275
pca_$\Delta\theta$,10000,25,0.009993260349818692
corr,10000,25,0.0009945521826507612
pMSE,10000,25,0.0020771425716404053
ks_test,10000,25,0.012484
pca_$\Delta\lambda$,10000,25,0.007147995165546996
pca_$\Delta\theta$,10000,25,0.013417735373950277
corr,10000,25,0.0009030485803894669
pMSE,10000,25,0.0016005518027772815
ks_test,10000,25,0.013696
pca_$\Delta\lambda$,10000,25,0.004474743457367133
pca_$\Delta\theta$,10000,25,0.015598513341083288
corr,10000,25,0.0009540589788710698
pMSE,10000,25,0.0013488759486421377
ks_test,10000,25,0.011192000000000002
pca_$\Delta\lambda$,10000,25,0.006054171514376386
pca_$\Delta\theta$,10000,25,0.011965722471382759
corr,10000,25,0.0012235981780367195
pMSE,10000,25,0.0015958197790681395
ks_test,10000,25,0.01106
pca_$\Delta\lambda$,10000,25,0.011651031246199775
pca_$\Delta\theta$,10000,25,0.009484003684380606
corr,10000,25,0.0008772592092751609
pMSE,10000,25,0.0025368320371816676
ks_test,10000,25,0.01324
pca_$\Delta\lambda$,10000,25,0.006129060996263788
pca_$\Delta\theta$,10000,25,0.010220825684546497
corr,10000,25,0.0009714560350418631
pMSE,10000,25,0.0012564781230124454
ks_test,10000,25,0.013356
pca_$\Delta\lambda$,10000,25,0.004243789358028715
pca_$\Delta\theta$,10000,25,0.01237818940514869
corr,10000,25,0.0010335974036763855
pMSE,10000,25,0.000918695390939336
ks_test,10000,25,0.010955999999999999
pca_$\Delta\lambda$,10000,25,0.008007906906992358
pca_$\Delta\theta$,10000,25,0.012705237607624585
corr,10000,25,0.0009073543452297535
pMSE,10000,25,0.00133553835372749
ks_test,10000,25,0.011188
pca_$\Delta\lambda$,10000,25,0.00674423301125457
pca_$\Delta\theta$,10000,25,0.011591344573058226
corr,10000,25,0.0010216210934260784
pMSE,10000,25,0.0011921261886160585
ks_test,10000,25,0.011244
pca_$\Delta\lambda$,10000,25,0.00670275412050935
pca_$\Delta\theta$,10000,25,0.01111502001401612
corr,10000,25,0.0009302400070522216
pMSE,10000,25,0.0012594825993799263
ks_test,10000,25,0.011376000000000002
pca_$\Delta\lambda$,10000,25,0.00510104765991575
pca_$\Delta\theta$,10000,25,0.015126537209613801
corr,10000,25,0.0010231183652933806
pMSE,10000,25,0.0016810555954022664
ks_test,10000,25,0.014839999999999999
pca_$\Delta\lambda$,10000,25,0.005932373037380258
pca_$\Delta\theta$,10000,25,0.017461463495912273
corr,10000,25,0.001118111358977452
pMSE,10000,25,0.0017821619304014401
ks_test,10000,25,0.012372000000000001
pca_$\Delta\lambda$,10000,25,0.01039617598027956
pca_$\Delta\theta$,10000,25,0.011201119121404975
corr,10000,25,0.0012073480147201283
pMSE,10000,25,0.0011187470771557705
ks_test,10000,25,0.01148
pca_$\Delta\lambda$,10000,25,0.010862119673851776
pca_$\Delta\theta$,10000,25,0.012013159652581352
corr,10000,25,0.0008758858936510309
pMSE,10000,25,0.0019981458206779395
ks_test,10000,25,0.013255999999999999
